log_population,log_density,birth_rate,death_rate,life_expectancy,infant_mortality,log_gdp,log_gdp_pc,unemployment,electricity_consumption,internet_users,year,years_since_1970,growth_rate,Region_Europe & Central Asia,Region_Latin America & Caribbean,Region_Middle East & North Africa,Region_North America,Region_South Asia,Region_Sub-Saharan Africa,Income_High income: nonOECD,Income_Low income,Income_Lower middle income,Income_Upper middle income,life_exp_x_gdp_pc,birth_rate_x_internet
16.98699296875332,2.7953465374870547,23.09,8.97,66.483,59.0,24.175922832497594,7.187347214347016,,,,1970,0,1.0052,False,True,False,False,False,False,True,False,False,False,477.8364048514327,
17.14860049745979,2.7953465374870547,24.718,8.601,69.496,37.0,25.066576331148802,7.922565580509588,,1243.63,,1980,10,1.0052,False,True,False,False,False,False,True,False,False,False,550.5866175830943,
17.300977302395417,2.7953465374870547,22.226,8.163,71.594,25.3,25.67202572732458,8.374126193356641,,1303.98,0.0,1990,20,1.0052,False,True,False,False,False,False,True,False,False,False,599.5371906871753,0.0
17.428339454326263,2.7953465374870547,19.499,7.845,73.576,17.5,26.372240075107616,8.950027002984092,15.0,2088.81,7.03868,2000,30,1.0052,False,True,False,False,False,False,True,False,False,False,658.5071867715575,137.24722132
17.531521672162715,2.7953465374870547,18.154,7.708,75.278,12.9,26.77299929217837,9.248214024404264,7.714,2877.65,45.0,2010,40,1.0052,False,True,False,False,False,False,True,False,False,False,696.1870553291043,816.93
17.582671130602733,2.7953465374870547,17.548,7.638,76.068,10.2,27.11182724249204,9.531633703972961,7.643,,68.0431,2015,45,1.0052,False,True,False,False,False,False,True,False,False,False,725.0523125938151,1194.0203187999998
14.745458405434801,4.537780671294532,22.694,6.203,70.144,,,,,,,1970,0,0.9962,True,False,False,False,False,False,False,False,True,False,,
14.958178965729267,4.537780671294532,23.823,6.274,70.937,59.8,,,,,,1980,10,0.9962,True,False,False,False,False,False,False,False,True,False,,
15.084298438932782,4.537780671294532,21.768,8.473,67.879,41.8,21.53723144170626,6.458110984787157,,2722.59,0.0,1990,20,0.9962,True,False,False,False,False,False,False,False,True,False,438.37011553636745,0.0
14.968776106674705,4.537780671294532,12.91,8.575,71.409,27.1,21.371185499569666,6.434132307813289,11.253,1297.57,1.30047,2000,30,0.9962,True,False,False,False,False,False,False,False,True,False,459.4549539686392,16.7890677
14.896058327949904,4.537780671294532,15.304,9.739,73.331,16.5,22.949000122728346,8.076630299190194,19.008,1726.26,25.0,2010,40,0.9962,True,False,False,False,False,False,False,False,True,False,592.2673764699161,382.6
14.872812885853735,4.537780671294532,14.795,9.823,74.467,12.8,23.07970444416648,8.190714849055729,18.261,,59.1024,2015,45,0.9962,True,False,False,False,False,False,False,False,True,False,609.9379626646329,874.420008
10.987087721083734,6.382426829130583,24.099,5.671,69.14,,,,,,,1970,0,0.9991,False,True,False,False,False,False,True,False,False,False,,
11.039186869413498,6.382426829130583,22.472,6.376,72.293,,,,,,,1980,10,0.9991,False,True,False,False,False,False,True,False,False,False,,
11.09303683619634,6.382426829130583,19.571,7.059,73.468,,20.455238668461956,9.41794786124641,,,0.0,1990,20,0.9991,False,True,False,False,False,False,True,False,False,False,691.9177934700513,0.0
11.397525836740476,6.382426829130583,14.173,6.971,73.787,,21.351047487824804,9.934050704618409,,,15.4428,2000,30,0.9991,False,True,False,False,False,False,True,False,False,False,733.0037993416786,218.8708044
11.516329664103791,6.382426829130583,11.214,7.918,75.017,,21.59476838603043,10.065291726657126,,,62.0,2010,40,0.9991,False,True,False,False,False,False,True,False,False,False,755.0679894586376,695.268
11.55461428368981,6.382426829130583,11.281,8.627,75.725,,21.713409079775428,10.15799022629009,,,88.6612,2015,45,0.9991,False,True,False,False,False,False,True,False,False,False,769.213809885817,1000.1869972
